년도,월,본부구분,출동건수,이송건수,이송환자수
2020,10,경남,12353,6693,6823
2020,11,경남,11477,6032,6173
2020,12,경남,10634,5278,5384
2020,1,창원,3990,2378,2407
2020,2,창원,3351,1949,1968
2020,3,창원,3142,1724,1764
2020,4,창원,3496,1811,1829
2020,5,창원,3819,2141,2178
2020,6,창원,3812,2095,2133
2020,7,창원,4030,2255,2282
2020,8,창원,4145,2323,2371
2020,9,창원,3856,2112,2135
2020,10,창원,3795,2119,2147
2020,11,창원,3862,2033,2058
2020,12,창원,3458,1843,1861
2020,1,제주,4275,3074,3170
2020,2,제주,3471,2365,2407
2020,3,제주,3812,2430,2476
2020,4,제주,3725,2376,2437
2020,5,제주,4111,2649,2705
2020,6,제주,4198,2641,2697
2020,7,제주,4640,2928,2998
2020,8,제주,5044,3205,3290
2020,9,제주,4147,2665,2718
2020,10,제주,4520,2860,2933
2020,11,제주,4253,2746,2824
2020,12,제주,3934,2539,2701
